序號,餐廳類別,餐廳名稱,餐廳電話,分機,手機號碼,餐廳地址,額外環保作為
14,環保餐廳,Chinese Whispers 悄悄話餐酒館,(02)27783988,,,臺北市大安區仁愛路四段345巷2弄11號,環境管理
15,環保餐廳,COFFEE LOVER's PLANET,(02)27524157,,,臺北市大安區敦化南路一段246號B1,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
16,環保餐廳,Coming Bistro,(02)27479225,,,臺北市松山區光復南路55號1樓,環境管理
17,環保餐廳,CYCLO 洛城 忠孝門市,(02)27782569,,,臺北市大安區大安路一段75巷9號,"環境管理, 綠色採購, 環境教育"
18,環保餐廳,EN和食(復興SOGO店),(02)77450796,,,臺北市大安區忠孝東路三段300號11樓,--
19,環保餐廳,EN壽司．和食,(02)27730246,,,臺北市大安區敦化南路一段246號B2,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
20,環保餐廳,Fun 心 caf?,(02)27125565,,,臺北市松山區敦化北路244巷29號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
21,環保餐廳,GUSTOSO,(02)77269099,,,臺北市大安區敦化南路一段331號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
22,環保餐廳,inn cafe x 台北師大店,(02)23690055,,,臺北市大安區龍泉街7號,"環境管理, 綠色採購"
23,環保餐廳,JeeWoo吉屋,(02)23918563,,,臺北市大安區金華街145號,"環境管理, 綠色採購, 源頭減量, 環境教育"
24,環保餐廳,KANPAI CLASSIC 天母店,(02)28771550,,,臺北市士林區台北市士林區忠誠路二段 200 號 2 樓,"環境管理, 源頭減量"
25,環保餐廳,Lady nara台北忠孝SOGO店,(02)27712585,,,臺北市大安區忠孝東路四段45號12樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
26,環保餐廳,LIFE KITCHEN,(02)27931818,,,臺北市內湖區新湖三路134號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
27,環保餐廳,Los TOAST 洛城吐司,(02)28208206,,,臺北市北投區實踐街82巷6號,"源頭減量, 惜食(善用食材)"
28,環保餐廳,Machikaka 智允餐飲,(02)27772777,,,臺北市中山區南京東路三段216巷4號一樓,環境管理
29,環保餐廳,Mama Inca印加媽媽 秘魯餐館,(02)27092832,,,臺北市大安區瑞安街31巷1-1號,"環境管理, 綠色採購, 惜食(善用食材), 環境教育, 8"
30,環保餐廳,Maya Bistro 瑪亞餐酒,(02)25850305,,,臺北市中山區雙城街46巷1號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
31,環保餐廳,meet蘋果咖啡館,(02)23820025,,,臺北市中正區博愛路86號,環境管理
32,環保餐廳,Mentari萌太利(微風台大醫院商場),(02)23952298,8123,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
33,環保餐廳,Miso微笑韓國料理,(02)23670281,,,臺北市大安區金山南路二段6號,環境管理
34,環保餐廳,mister donut,(02)23816949,,,臺北市萬華區台北市萬華區桂林路1號,環境管理
35,環保餐廳,Mos摩斯漢堡(北榮美食街),(02)28710185,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
36,環保餐廳,Mos摩斯漢堡(微風台大醫院商場),(02)23952298,8140,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
37,環保餐廳,N° 168 PRIME,(02)66176168,,,臺北市大安區敦化南路一段246號7F,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
38,環保餐廳,Nara Thai Cuisine 台北忠孝SOGO 店,(02)27718939,,,臺北市大安區忠孝東路四段45號11樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
39,環保餐廳,OEC蚌麵,(02)23117819,,,臺北市中正區台北市中正區中山南路8號B1,環境管理
40,環保餐廳,omo cafe （天母SOGO店）,(02)28341668,,,臺北市士林區中山北路六段77號5樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
41,環保餐廳,Oohchacha自然食(古亭店),(02)23677133,,,臺北市中正區南昌路二段207號,"環境管理, 惜食(善用食材), 環境教育"
42,環保餐廳,PAI CAF? & LIFE,,,971168198,臺北市松山區八德路二段366巷11號,"環境管理, 源頭減量, 惜食(善用食材)"
43,環保餐廳,PAI Coffee,(02)25179787,,,臺北市中山區民生東路二段147巷6弄1號,"環境管理, 源頭減量, 惜食(善用食材), 環境教育"
44,環保餐廳,PARADE 和巴黎人吃一樣的日常,(02)27110800,,,臺北市大安區忠孝東路四段170巷11號,環境管理
45,環保餐廳,pd by petit doux 忠孝SOGO店,(02)27213008,,,臺北市大安區台北市大安區忠孝東路四段45號 11樓(忠孝SOGO百貨),"環境管理, 綠色採購, 源頭減量"
46,環保餐廳,petit doux 微兜  永康店,(02)23951336,,,臺北市大安區台北市大安區信義路二段 198 巷 7-3 號1樓,"環境管理, 綠色採購, 源頭減量"
47,環保餐廳,petit doux 微兜  京站店,(02)77290009,,,臺北市大同區台北市大同區承德路一段1號1樓,"環境管理, 綠色採購, 源頭減量"
48,環保餐廳,PINK SALT｜披薩｜義麵 ,(02)27564233,,,臺北市信義區忠孝東路五段423巷28號,"環境管理, 惜食(善用食材), 環境教育"
49,環保餐廳,Plants,(02)27845677,,,臺北市大安區復興南路1段253巷10號1樓,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
50,環保餐廳,PRIME ONE 牛排館,(02)23143300,3368,,臺北市中正區中華路二段1號,"環境管理, 綠色採購, 惜食(善用食材)"
51,環保餐廳,Q Burger士林大南店,(02)28820058,,,臺北市士林區大南路315號1樓,--
52,環保餐廳,Q Burger士林延平店,(02)28110658,,,臺北市士林區延平北路五段179號,--
53,環保餐廳,Q Burger士林忠義店,(02)28343148,,,臺北市士林區忠義街113-1號一樓,--
54,環保餐廳,Q Burger士林社子店,(02)28168058,,,臺北市士林區社子街36號,--
55,環保餐廳,Q Burger士林通河店,(02)28853848,,,臺北市士林區通河街125號,--
56,環保餐廳,Q Burger大同大龍店,(02)25996128,,,臺北市信義區大龍街150號,--
57,環保餐廳,Q Burger大安樂業店,(02)27360209,,,臺北市大安區樂業街153號,--
58,環保餐廳,Q Burger大橋頭店,(02)25500147,,,臺北市信義區民權西路226號,--
59,環保餐廳,Q Burger中山中原店,(02)25232521,,,臺北市中山區中原街41號1樓,--
60,環保餐廳,Q Burger中山天祥店,(02)25311238,,,臺北市中山區天祥路22號1樓,--
61,環保餐廳,Q Burger中山吉林店,(02)25910182,,,臺北市士林區吉林路397號,--
62,環保餐廳,Q Burger中山復興店,(02)25090565,,,臺北市中山區復興北路514巷34號一樓,--
63,環保餐廳,Q Burger中山農安店,(02)25150024,,,臺北市中山區農安街170號1樓、地下室,"環境管理, 綠色採購, 源頭減量, 環境教育"
64,環保餐廳,Q Burger中山榮星店,(02)25016190,,,臺北市中山區行仁里五常街63號,--
65,環保餐廳,Q Burger中山錦州店,(02)25222997,,,臺北市中山區吉林路205號,--
66,環保餐廳,Q Burger中正寧波店,(02)23325085,,,臺北市中正區寧波西街100號1樓,--
67,環保餐廳,Q Burger內湖金龍店,(02)27928292,,,臺北市內湖區金龍路74號,--
68,環保餐廳,Q Burger內湖星雲店,(02)27922009,,,臺北市內湖區星雲街14號,--
69,環保餐廳,Q Burger內湖達人店,(02)27909865,,,臺北市內湖區內湖路二段326號,--
70,環保餐廳,Q Burger內湖麗山店,(02)26276424,,,臺北市內湖區內湖路一段629巷41號1樓,"環境管理, 綠色採購, 源頭減量, 環境教育"
71,環保餐廳,Q Burger文山木新店,(02)29396817,,,臺北市文山區木新路二段229號,--
72,環保餐廳,Q Burger文山世新店,(02)22369201,,,臺北市文山區木柵路一段101號1樓及地下室,"環境管理, 綠色採購, 源頭減量, 環境教育"
73,環保餐廳,Q Burger文山景福店,(02)89351881,,,臺北市文山區景福街234號,--
74,環保餐廳,Q Burger文山景興店,(02)29320217,,,臺北市文山區景興路99號,--
75,環保餐廳,Q Burger文山萬隆店,(02)29331380,,,臺北市文山區萬隆里景福街4號1樓,--
76,環保餐廳,Q Burger文山福興店,(02)29308228,,,臺北市文山區福興路45號,"環境管理, 綠色採購, 源頭減量, 環境教育"
77,環保餐廳,Q Burger文山興隆店,(02)29371568,,,臺北市文山區興隆路四段112號,--
78,環保餐廳,Q Burger文山興德店,(02)29343805,,,臺北市文山區興隆路二段215之2號1樓,--
79,環保餐廳,Q Burger北投大興店,(02)28941027,,,臺北市北投區大興街48號,"環境管理, 綠色採購, 源頭減量, 環境教育"
80,環保餐廳,Q Burger北投中和店,(02)28915262,,,臺北市北投區中和街402號,--
81,環保餐廳,Q Burger北投立農店,(02)28236017,,,臺北市北投區立農街二段259號1樓,"環境管理, 綠色採購, 源頭減量, 環境教育"
82,環保餐廳,Q Burger北投知行店,(02)28585885,,,臺北市北投區知行路249號,"環境管理, 綠色採購, 源頭減量, 環境教育"
83,環保餐廳,Q Burger北投致遠店,(02)28250606,,,臺北市北投區致遠一路一段95號,--
84,環保餐廳,Q Burger北投實踐店,(02)28250909,,,臺北市北投區實踐街61號,--
85,環保餐廳,Q Burger北投懷德店,(02)28202320,,,臺北市北投區建民路161-5號1樓,--
86,環保餐廳,Q Burger松山民生店,(02)25471072,,,臺北市松山區民生東路四段103號1樓,--
87,環保餐廳,Q Burger松山南京五店,(02)27565258,,,臺北市松山區南京東路五段250巷18弄2-1號,"環境管理, 綠色採購, 源頭減量, 環境教育"
88,環保餐廳,Q Burger松山撫遠店,(02)27533262,,,臺北市松山區撫遠街352號,--
89,環保餐廳,Q Burger信義永吉店,(02)27653337,,,臺北市信義區永吉路120巷1號1樓,--
90,環保餐廳,Q Burger信義吳興店,(02)27200965,,,臺北市信義區吳興街281巷59號,--
91,環保餐廳,Q Burger信義松山店,(02)27279620,,,臺北市信義區松山路465巷2號,--
92,環保餐廳,Q Burger信義松仁店,(02)27208119,,,臺北市信義區松仁路227號1樓,--
93,環保餐廳,Q Burger信義虎林店,(02)27279868,,,臺北市信義區信義路六段106號1樓,--
94,環保餐廳,Q Burger信義信安店,(02)87321008,,,臺北市信義區信安街127號,--
95,環保餐廳,Q Burger南港福德店,(02)26519876,,,臺北市南港區福德街312號1樓,--
96,環保餐廳,Q Burger萬華青年店,(02)23070701,,,臺北市萬華區青年路140號1樓,--
97,環保餐廳,Q Burger萬華國興店,(02)23056683,,,臺北市萬華區國興路98號,--
98,環保餐廳,Q Burger萬華雙園店,(02)23087655,,,臺北市萬華區雙園街15號,--
99,環保餐廳,Q Burger萬華寶興店,(02)23010052,,,臺北市萬華區寶興街149號1樓,--
100,環保餐廳,SAISON du SOLEIL,(02)27310258,,,臺北市大安區敦化南路一段246號B2,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
101,環保餐廳,Sarabeth's,(02)27526998,,,臺北市大安區敦化南路一段246號B1,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
102,環保餐廳,Sarabeth's 天母店,(02)28335669,,,臺北市士林區中山北路六段77號2樓,"環境管理, 環境教育"
103,環保餐廳,SKYLARK加州風洋食館-士林中山北店,(02)28837742,,,臺北市士林區台北市士林區中山北路5段565號,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
104,環保餐廳,SKYLARK加州風洋食館-內湖大潤發2店,(02)27966280,,,臺北市內湖區台北市內湖區舊宗路188號1樓,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
105,環保餐廳,SKYLARK加州風洋食館-和平公園店,(02)23756364,,,臺北市中正區台北市中正區懷寧街90號,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
106,環保餐廳,SKYLARK加州風洋食館-東湖康寧店,(02)26332850,,,臺北市內湖區台北市內湖區康寧路3段72號,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
107,環保餐廳,SKYLARK加州風洋食館-寶慶遠百店,(02)23754730,,,臺北市中正區台北市中正區寶慶路32號1樓(遠東百貨1樓),"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
108,環保餐廳,Twinkle Twinkle Cafe & Brunch 小星星 早午餐&輕食,(02)23039889,,,臺北市萬華區中華路二段416巷84號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
109,環保餐廳,UCC Caf? Mercado (天母SOGO店),(02)28350652,,,臺北市士林區中山北路六段77號B1樓,"環境管理, 源頭減量, 惜食(善用食材), 環境教育"
110,環保餐廳,UCC Caf? Mercado (忠孝SOGO店),(02)27416800,,,臺北市大安區忠孝東路四段45號B2,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務)"
111,環保餐廳,一雙牛肉麵,(02)23117819,,,臺北市中正區台北市中正區中山南路8號B1,環境管理
112,環保餐廳,九湯屋日本拉麵(台北南京店),(02)25813100,,,臺北市中山區南京東路一段132巷33號,"環境管理, 綠色採購, 源頭減量"
113,環保餐廳,二本餐廳,(02)87737033,,,臺北市大安區忠孝東路四段101巷27號,"環境管理, 綠色採購, 惜食(打包服務), 惜食(善用食材)"
114,環保餐廳,十八廚,(02)27547890,,,臺北市松山區興安街212號1樓,"環境管理, 綠色採購, 源頭減量, 環境教育"
115,環保餐廳,十六饗雀-泰式酸辣湯,(02)33651606,,,臺北市大安區師大路106號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
116,環保餐廳,十里安?手麵 瑞光旗艦店,(02)87975398,,,臺北市內湖區台北市內湖區瑞光路413號,環境管理
117,環保餐廳,十勝石燒(北榮美食街),,,919329057,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
118,環保餐廳,三友拉麵(龍江店),(02)8772997,,,臺北市中山區龍江路93號,環境管理
119,環保餐廳,三合院 (忠孝SOGO店),(02)27816667,,,臺北市大安區忠孝東路四段45號11F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
120,環保餐廳,下港老麵攤(台師大店),,,966676673,臺北市大安區和平東路一段162號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
121,環保餐廳,大井屋(微風．三總商店街),(02)87923311,10090,,臺北市內湖區成功路二段325號B1樓,環境管理
122,環保餐廳,大心新泰式麵食（天母SOGO店）,(02)28325366,,,臺北市士林區中山北路六段77號8樓,"環境管理, 源頭減量"
123,環保餐廳,大戶屋大安店,(02)89782668,,,臺北市大安區復興南路一段323號B1,"環境管理, 綠色採購, 源頭減量"
124,環保餐廳,大戶屋大葉?島屋店,(02)28326050,,,臺北市士林區忠誠路二段55號B1F,"環境管理, 綠色採購, 源頭減量"
125,環保餐廳,大戶屋台北凱撒店,(02)23612377,,,臺北市中正區忠孝西路一段38號B1,"環境管理, 綠色採購, 源頭減量"
126,環保餐廳,大戶屋民權東路一段店,(02)25958663,,,臺北市中山區民權東路一段9號B1,"環境管理, 綠色採購, 源頭減量"
127,環保餐廳,大戶屋行天宮站店,(02)25625811,,,臺北市中山區松江路276號2樓,"環境管理, 綠色採購, 源頭減量"
128,環保餐廳,大戶屋京站店,(02)25553255,,,臺北市大同區承德路一段1號B3,"環境管理, 綠色採購, 源頭減量"
129,環保餐廳,大戶屋忠孝復興店,(02)27785077,,,臺北市大安區忠孝東路四段52號2樓,"環境管理, 綠色採購, 源頭減量"
130,環保餐廳,大戶屋東湖店,(02)26338839,,,臺北市內湖區康寧路三段187號2樓,"環境管理, 綠色採購, 源頭減量"
131,環保餐廳,大戶屋松山車站店,(02)25287775,,,臺北市信義區松山路11號1樓,"環境管理, 綠色採購, 源頭減量"
132,環保餐廳,大戶屋南京復興店,(02)27715337,,,臺北市松山區南京東路三段258號2樓,"環境管理, 綠色採購, 源頭減量"
133,環保餐廳,大戶屋南港車站店,(02)26512778,,,臺北市南港區忠孝東路7段369號7樓,"環境管理, 綠色採購, 源頭減量"
134,環保餐廳,大戶屋美麗華店,(02)85012772,,,臺北市中山區敬業三路20號B1,"環境管理, 綠色採購, 源頭減量"
135,環保餐廳,大戶屋統一時代店,(02)89780886,,,臺北市信義區忠孝東路五段8號B2,"環境管理, 綠色採購, 源頭減量"
136,環保餐廳,大戶屋微風台北車站店,(02)23319337,,,臺北市中正區北平西路3號2樓(東3門),"環境管理, 綠色採購, 源頭減量"
137,環保餐廳,大戶屋微風廣場店,(02)87720835,,,臺北市松山區復興南路一段39號GF,"環境管理, 綠色採購, 源頭減量"
138,環保餐廳,大戶屋新北投店,(02)28951255,,,臺北市北投區中心里泉源路１２號２樓之１,"環境管理, 綠色採購, 源頭減量"
139,環保餐廳,大戶屋誠品南西店,(02)25311808,,,臺北市中山區南京西路14號B1,"環境管理, 綠色採購, 源頭減量"
140,環保餐廳,大地酒店-月兒彎彎,(02)55518888,,,臺北市北投區奇岩路1號,"環境管理, 源頭減量, 惜食(善用食材)"
141,環保餐廳,大地酒店-奇岩一號,(02)55518888,,,臺北市北投區奇岩路1號,"環境管理, 源頭減量, 惜食(善用食材)"
142,環保餐廳,大地酒店-喜歡廳,(02)55518888,,,臺北市北投區奇岩路一號,"環境管理, 源頭減量, 惜食(善用食材)"
143,環保餐廳,大根日本料亭,(02)25817776,,,臺北市中山區中山北路二段39巷14-1號,"環境管理, 源頭減量, 惜食(善用食材)"
144,環保餐廳,大衛小小羊,(02)28619668,,,臺北市士林區國泰街9號,"環境管理, 惜食(善用食材)"
145,環保餐廳,小小蔬房,(02)23111168,,,臺北市萬華區漢口街二段125號,"環境管理, 綠色採購, 環境教育"
146,環保餐廳,小南門(微風台大醫院商場),(02)23952298,8120,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
147,環保餐廳,小南門/小南門點心世界(北榮美食街),(02)28751220,,,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
148,環保餐廳,小南門傳統豆花(微風．三總商店街),(02)87923311,10022,,臺北市內湖區成功路二段325號B1樓,環境管理
149,環保餐廳,小拾聚 餐食館,(02)27388980,,,臺北市大安區復興南路二段325號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育, 8"
150,環保餐廳,小醉好(信義店)|法式下午茶Day Drink & 小餐酒館,(02)27566629,,,臺北市信義區忠孝東路五段61號,"環境管理, 惜食(善用食材), 環境教育"
151,環保餐廳,山?咖啡,(02)28939325,,,臺北市北投區溫泉路110-1號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
152,環保餐廳,中東人的私房菜,(02)28330117,,,臺北市士林區忠義街117-3號1樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
153,環保餐廳,中國人壽總部員工餐廳(自有),(02)27196678,1991,,臺北市松山區敦化北路135號B2,"環境管理, 綠色採購, 環境教育, 8"
154,環保餐廳,中國信託內湖行政大樓員工餐廳,(02)81787777,,,臺北市內湖區安康路22巷33號4樓,"環境管理, 綠色採購"
155,環保餐廳,中國信託金融園區員工餐廳,(02)33277777,8922,,臺北市南港區經貿二路168號4樓,"環境管理, 綠色採購"
156,環保餐廳,中崙涼麵,(02)27188177,,,臺北市松山區八德路三段12巷5弄30號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
157,環保餐廳,天下奇冰,(02)25867867,,,臺北市大同區重慶北路三段232號1樓,環境管理
158,環保餐廳,天下食堂,(02)27771163,,,臺北市中山區安東街4之5號,環境管理
159,環保餐廳,日本橋海鮮丼?半Tsujihan( SOGO復興店),(02)77553346,,,臺北市大安區忠孝東路3段300號B2,環境管理
160,環保餐廳,王品餐飲股份有限公禾七台北家樂福桂林店,(02)77074941,,,臺北市萬華區桂林路1號4樓,環境管理
161,環保餐廳,王鍋屋逸仙創始總店,(02)27588380,,,臺北市信義區逸仙路50巷20號1樓,環境管理
162,環保餐廳,功夫肉圓(微風台大醫院商場),(02)23952298,8148,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
163,環保餐廳,包家小鎮(微風台大醫院商場),(02)23952298,8142,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
164,環保餐廳,古拉爵 義式屋-欣欣百貨店,(02)25427680,,,臺北市中山區台北市中山區林森北路247號2樓,"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
165,環保餐廳,古拉爵 義式屋-南港中信店,(02)27892688,,,臺北市南港區台北市南港區經貿二路166號2樓(中信總部A棟),"環境管理, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
166,環保餐廳,台北花園大酒店-花園thai thai,(02)23121000,,,臺北市中正區中華路二段1號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
167,環保餐廳,永和樓中華料理店,(02)23772077,,,臺北市大安區和平東路二段118巷52弄3號,"環境管理, 環境教育"
168,環保餐廳,玉山銀行(第二總部大樓)員工餐廳,(02)21751313,8181,,臺北市松山區敦化北路315號,"環境管理, 綠色採購, 源頭減量, 環境教育"
169,環保餐廳,玉山銀行員工餐廳,(02)21751313,8139,,臺北市松山區民生東路三段117號,"環境管理, 綠色採購"
170,環保餐廳,甘物家 x 甘物日飲(桂林家樂福店),(02)23816607,,,臺北市萬華區萬華區桂林路1號,"環境管理, 綠色採購"
171,環保餐廳,甲大鴻港式燒臘(北榮美食街),,,976698108,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
172,環保餐廳,立馬吃一鍋。有機水產火鍋專賣,(02)27417668,,,臺北市大安區仁愛路四段27巷9號B1,"環境管理, 惜食(善用食材), 環境教育"
173,環保餐廳,丼賞和食??物vs刺身丼丼專門店,(02)25175526,,,臺北市中山區南京東路二段140號B1,"環境管理, 惜食(善用食材), 環境教育"
174,環保餐廳,伊勢路勝勢日式豬排(復興 SOGO店),(02)87729822,,,臺北市大安區忠孝東路三段300號10樓,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
175,環保餐廳,再見 麵,(02)87730086,,,臺北市大安區忠孝東路三段205之1號,環境管理
176,環保餐廳,吉 天婦羅 (忠孝SOGO店),(02)27312518,,,臺北市大安區忠孝東路四段45號11F,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
177,環保餐廳,向樂達工房(Caf? Chat Leopard 豹紋喵喵),(02)26256499,,,臺北市大同區蘭州街蘭州街14號1樓,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 環境教育"
178,環保餐廳,在她家,,,922800097,臺北市大同區貴德街47－2號,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
179,環保餐廳,好好吃大餛飩(微風．三總商店街),(02)87923311#1,10898,,臺北市內湖區成功路二段325號B1樓,環境管理
180,環保餐廳,好好吃大餛飩(微風台大醫院商場),(02)23952298#8,8121,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
181,環保餐廳,安永鮮食(北榮美食街),,,989716832,臺北市北投區石牌路二段201號生活廣場,"環境管理, 綠色採購, 食材及餐點, 源頭減量, 惜食(打包服務), 惜食(善用食材), 環境教育"
182,環保餐廳,安永鮮食(微風台大醫院商場),(02)23952298#8,8122,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
183,環保餐廳,成家小館,(02)29374611,,,臺北市文山區木新路三段154號,"綠色採購, 惜食(善用食材), 環境教育"
184,環保餐廳,成家小館(天母店),(02)28366668,,,臺北市士林區忠義街84號,環境管理
185,環保餐廳,成真咖啡（天母SOGO店）,(02)28368881,,,臺北市士林區士林區中山北路六段77號1樓,"環境管理, 綠色採購, 惜食(善用食材)"
186,環保餐廳,成真咖啡台北sogo復興店,(02)87723722,,,臺北市大安區忠孝東路三段300號9樓,"環境管理, 綠色採購, 源頭減量"
187,環保餐廳,有之和牛台北忠孝,(02)87851117,,,臺北市信義區110臺北市信義區忠孝東路五段497號1樓,"環境管理, 惜食(善用食材)"
188,環保餐廳,有點辣正宗麻辣串串鍋,(02)23111085,,,臺北市萬華區西寧南路285號1樓,環境管理
189,環保餐廳,朱記餡餅粥(天母SOGO店),(02)28353619,,,臺北市士林區中山北路6段77號8樓,"環境管理, 源頭減量, 惜食(善用食材)"
190,環保餐廳,朱記餡餅粥(微風台大醫院商場),(02)23952298#8,8114,,臺北市中正區中山南路77號B1F,"環境管理, 環境教育"
191,環保餐廳,朱記餡餅粥店,(02)26510264,,,臺北市南港區忠孝東路七段371號B1,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材), 環境教育"
192,環保餐廳,老乾杯 信義店,(02)27253311,,,臺北市信義區台北市信義區松壽路9號8樓,"環境管理, 源頭減量"
193,環保餐廳,老乾杯 慶城店,(02)27139000,,,臺北市松山區台北市松山區慶城街29號1樓,"環境管理, 源頭減量"
194,環保餐廳,老乾杯(復興SOGO店),(02)27316555,,,臺北市大安區忠孝東路三段300號11樓,"環境管理, 源頭減量, 惜食(善用食材)"
195,環保餐廳,老乾杯大直忠泰店,(02)85025551,,,臺北市中山區樂群三路200號5樓,"環境管理, 源頭減量"
196,環保餐廳,老乾杯南西店,(02)25215255,,,臺北市中山區台北市中山區南京西路12號號7樓,"環境管理, 源頭減量"
197,環保餐廳,老莫派咖哩,(02)66039032,,,臺北市信義區忠孝東路四段553巷2弄7號,"環境管理, 綠色採購, 源頭減量, 惜食(善用食材)"
